ace ##r wants $ 170 to just look at it then add the repair cost on top of that .####0,2 -1,-1	SUPPORT#PRICE#1
its an ok laptop , it makes crack ##ling annoying noises sometimes , im worried that it will become worse with time so i will be returning it , also the speakers are really bad , keyboard is good enough .####31,32 34,35	MULTIMEDIA_DEVICES#GENERAL#0
its an ok laptop , it makes crack ##ling annoying noises sometimes , im worried that it will become worse with time so i will be returning it , also the speakers are really bad , keyboard is good enough .####36,37 38,39	KEYBOARD#GENERAL#2
the computer constantly pauses or stu ##tters and then continues when it comes to loading web pages and working on documents .####1,2 -1,-1	LAPTOP#QUALITY#0
overall , i ' m not very pleased with this computer .####10,11 5,8	LAPTOP#GENERAL#0
not happy with this one .####-1,-1 0,2	LAPTOP#GENERAL#0
the computer worked well for a few weeks , then the screen back ##light died .####1,2 3,4	LAPTOP#GENERAL#2
the computer worked well for a few weeks , then the screen back ##light died .####11,14 14,15	DISPLAY#OPERATION_PERFORMANCE#0
the laptop does n ' t work .####1,2 -1,-1	LAPTOP#QUALITY#0
i ' ve tried every single option and still ca n ' t use it .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
unable to contact as ##us support for help .####3,6 -1,-1	SUPPORT#GENERAL#0
will never buy an as ##us product again .####4,7 -1,-1	LAPTOP#GENERAL#0
should ' ve stick with my pixel ##book which was awesome and never have me trouble .####6,8 10,11	LAPTOP#GENERAL#2
return window is just a month , nothing can be done and now i am on mercy of as ##us .####18,20 -1,-1	COMPANY#GENERAL#0
no back ##light ##ing on the keyboard .####6,7 -1,-1	KEYBOARD#DESIGN_FEATURES#0
( i had to check that the caps lock was off after typing that last word . )####7,9 -1,-1	KEYBOARD#OPERATION_PERFORMANCE#0
for the back ##light ##ing , he sent me some zip files for at ##k and chips ##et which i don ' t know how to use and which i shouldn ' t have to use .####-1,-1 -1,-1	SUPPORT#GENERAL#0
the fan blows like crazy and it makes so much noise .####1,2 4,5	FANS&COOLING#OPERATION_PERFORMANCE#0
i don ' t even think i will be able to work on this it is so distracting .####-1,-1 17,18	LAPTOP#OPERATION_PERFORMANCE#0
this laptop was delivered with the screen broken , it was the christmas gift and when we removed the gift paper se found a laptop than ##t not worked , that ' s unfair and that should not be done yo any people on christmas night####-1,-1 33,34	LAPTOP#GENERAL#0
battery life is only 3 .####0,2 -1,-1	BATTERY#OPERATION_PERFORMANCE#0
high speed laptop####2,3 0,1	LAPTOP#OPERATION_PERFORMANCE#2
mouse ##pad doesn ' t work .####0,2 -1,-1	HARDWARE#QUALITY#0
i have used this laptop only for work and the battery lasts and hour at most on mid performance .####4,5 -1,-1	LAPTOP#GENERAL#0
i have used this laptop only for work and the battery lasts and hour at most on mid performance .####10,11 -1,-1	BATTERY#OPERATION_PERFORMANCE#0
will not be buying as ##us again####4,6 -1,-1	LAPTOP#GENERAL#0
two con ##s i ' m disappointed about is the battery life and the fl ##im ##sy keyboard .####10,12 1,3	BATTERY#OPERATION_PERFORMANCE#0
two con ##s i ' m disappointed about is the battery life and the fl ##im ##sy keyboard .####10,12 6,7	BATTERY#OPERATION_PERFORMANCE#0
two con ##s i ' m disappointed about is the battery life and the fl ##im ##sy keyboard .####17,18 1,3	KEYBOARD#GENERAL#0
two con ##s i ' m disappointed about is the battery life and the fl ##im ##sy keyboard .####17,18 14,17	KEYBOARD#GENERAL#0
has a gen ##ari ##c feel to it .####-1,-1 2,5	LAPTOP#GENERAL#1
they seemed to do nothing : fixing it was apparently my job .####-1,-1 -1,-1	SUPPORT#GENERAL#0
so now i ' m stuck with this dog but i ' m going to do all i can to get out the word that as ##us support is not the customer ' s friend : it ' s the customer ' s cross to bear .####25,28 -1,-1	SUPPORT#GENERAL#0
i ' ve had to reset the computer multiple times .####7,8 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
i returned it because the speaker is dead low .####5,6 8,9	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
good laptop but the web ##cam isn ' t good .####1,2 0,1	LAPTOP#GENERAL#2
good laptop but the web ##cam isn ' t good .####4,6 7,10	MULTIMEDIA_DEVICES#GENERAL#0
i would not recommend you buying this laptop , the spec ##s are fine for the price , but the hardware is rubbish .####7,8 2,4	LAPTOP#GENERAL#0
i would not recommend you buying this laptop , the spec ##s are fine for the price , but the hardware is rubbish .####10,12 13,14	LAPTOP#PRICE#2
i would not recommend you buying this laptop , the spec ##s are fine for the price , but the hardware is rubbish .####20,21 22,23	HARDWARE#GENERAL#0
power button is right next to the del ##ete key .####0,2 -1,-1	KEYBOARD#DESIGN_FEATURES#0
power button is right next to the del ##ete key .####7,10 -1,-1	KEYBOARD#DESIGN_FEATURES#0
all around , a very lacking laptop .####6,7 5,6	LAPTOP#GENERAL#0
* * returning the device - - that unhappy with the item .####4,5 8,9	LAPTOP#GENERAL#0
* * returning the device - - that unhappy with the item .####11,12 8,9	LAPTOP#GENERAL#0
dead pixel on display on arrival####3,4 0,1	DISPLAY#QUALITY#0
the laptop charge ##r has sparked repeatedly .####1,4 -1,-1	POWER_SUPPLY#OPERATION_PERFORMANCE#0
i will be returning this item .####5,6 -1,-1	LAPTOP#GENERAL#0
do not buy it will not search what you type in i want my money back####-1,-1 -1,-1	LAPTOP#GENERAL#0
this computer arrived fine but will not charge .####1,2 3,4	LAPTOP#GENERAL#2
this computer arrived fine but will not charge .####1,2 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
how can a brand new computer not charge properly ?####5,6 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
screen back ##light stopped working after just one month of light use .####0,3 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
i received this laptop promptly .####3,4 -1,-1	SHIPPING#GENERAL#2
great battery life , a matt ##e screen ( non - glossy ) full hd .####1,3 0,1	BATTERY#GENERAL#2
great battery life , a matt ##e screen ( non - glossy ) full hd .####5,8 -1,-1	DISPLAY#GENERAL#2
it will however win with substance .####-1,-1 3,4	LAPTOP#GENERAL#2
its about what is inside of this amazing product .####8,9 7,8	LAPTOP#GENERAL#2
the screen quality is excellent , and i am fuss ##y due to my interest in digital imagery .####1,3 4,5	DISPLAY#QUALITY#2
i can tell you for web surfing , the battery life is on par with what is advertised .####9,11 -1,-1	BATTERY#GENERAL#1
i could n ' t have put my feelings about my new ace ##r as ##pire e 15 e ##5 - 57 ##6 ##g - 57 ##6 ##2 better .####12,28 28,29	LAPTOP#GENERAL#2
the 8th generation processor and ss ##d make for a very snap ##py computer , and the easy up ##grad ##ab ##li ##lity is helpful now and will be useful in the future .####13,14 11,13	LAPTOP#OPERATION_PERFORMANCE#2
the 8th generation processor and ss ##d make for a very snap ##py computer , and the easy up ##grad ##ab ##li ##lity is helpful now and will be useful in the future .####1,4 11,13	CPU#OPERATION_PERFORMANCE#2
the 8th generation processor and ss ##d make for a very snap ##py computer , and the easy up ##grad ##ab ##li ##lity is helpful now and will be useful in the future .####5,7 11,13	HARDWARE#GENERAL#2
the 8th generation processor and ss ##d make for a very snap ##py computer , and the easy up ##grad ##ab ##li ##lity is helpful now and will be useful in the future .####-1,-1 17,18	LAPTOP#USABILITY#2
the 8th generation processor and ss ##d make for a very snap ##py computer , and the easy up ##grad ##ab ##li ##lity is helpful now and will be useful in the future .####-1,-1 24,25	LAPTOP#USABILITY#2
the 8th generation processor and ss ##d make for a very snap ##py computer , and the easy up ##grad ##ab ##li ##lity is helpful now and will be useful in the future .####-1,-1 29,30	LAPTOP#USABILITY#2
i / o : tons of ports , a dvd burn ##er , solid keyboard with good feel to the key strokes , and a very precise and responsive track ##pad .####6,7 -1,-1	PORTS#GENERAL#2
i / o : tons of ports , a dvd burn ##er , solid keyboard with good feel to the key strokes , and a very precise and responsive track ##pad .####9,12 -1,-1	OPTICAL_DRIVES#GENERAL#1
i / o : tons of ports , a dvd burn ##er , solid keyboard with good feel to the key strokes , and a very precise and responsive track ##pad .####14,15 13,14	KEYBOARD#QUALITY#2
i / o : tons of ports , a dvd burn ##er , solid keyboard with good feel to the key strokes , and a very precise and responsive track ##pad .####14,15 16,17	KEYBOARD#QUALITY#2
i / o : tons of ports , a dvd burn ##er , solid keyboard with good feel to the key strokes , and a very precise and responsive track ##pad .####20,22 13,14	KEYBOARD#QUALITY#2
i / o : tons of ports , a dvd burn ##er , solid keyboard with good feel to the key strokes , and a very precise and responsive track ##pad .####20,22 16,17	KEYBOARD#QUALITY#2
i / o : tons of ports , a dvd burn ##er , solid keyboard with good feel to the key strokes , and a very precise and responsive track ##pad .####29,31 26,27	HARDWARE#OPERATION_PERFORMANCE#2
i / o : tons of ports , a dvd burn ##er , solid keyboard with good feel to the key strokes , and a very precise and responsive track ##pad .####29,31 28,29	HARDWARE#OPERATION_PERFORMANCE#2
plus the screen is matt ##e , so bright lights are n ' t glaring .####2,3 -1,-1	DISPLAY#DESIGN_FEATURES#2
overall impression : this is a killer laptop for a killer deal !####7,8 10,11	LAPTOP#GENERAL#2
overall impression : this is a killer laptop for a killer deal !####7,8 -1,-1	LAPTOP#PRICE#2
i ' ve also discovered that the battery is better than i first thought , and will last 8 hours for light - duty activities such as web - surfing and word processing ; longer with power management on .####7,8 9,10	BATTERY#QUALITY#2
my overall impression has not changed in the past 8 months , and i am still very impressed by it .####-1,-1 17,18	LAPTOP#GENERAL#2
thanks to its ss ##d , it boots windows 10 pretty fast , b ##lo ##at ##ware is kept to a minimum ( please un ##ins ##tal ##l norton before doing anything else .####8,10 11,12	OS#OPERATION_PERFORMANCE#2
: p ) , and the machine is definitely zip ##py .####6,7 9,11	LAPTOP#OPERATION_PERFORMANCE#2
oh , and the n ##vid ##ia card is plenty capable for gaming at medium settings at least ( grid auto ##sport f ##ps av ##g is in the 80s / 90s or so )####4,8 10,11	GRAPHICS#OPERATION_PERFORMANCE#2
+ great and fast cpu and overall fast pc performance####4,5 1,2	CPU#OPERATION_PERFORMANCE#2
+ great and fast cpu and overall fast pc performance####4,5 7,8	CPU#OPERATION_PERFORMANCE#2
+ great and fast cpu and overall fast pc performance####8,10 -1,-1	LAPTOP#OPERATION_PERFORMANCE#2
+ decent full hd screen ( might be the ' crap ##pies ##t ' thing on it and it is still good for the price )####3,5 1,2	DISPLAY#DESIGN_FEATURES#2
+ decent full hd screen ( might be the ' crap ##pies ##t ' thing on it and it is still good for the price )####-1,-1 21,22	LAPTOP#PRICE#2
- track ##pad is too fin ##ick ##y and not my favorite####1,3 5,8	HARDWARE#USABILITY#0
need to play with it a bit more .####-1,-1 -1,-1	LAPTOP#GENERAL#1
as of now , for $ 600 or less , this is a nice buy .####-1,-1 13,14	LAPTOP#PRICE#2
this laptop is the best for the price in my opinion .####1,2 4,5	LAPTOP#GENERAL#2 LAPTOP#PRICE#2
there are 2 pretty significant flaws in the design however , one i think might only be on my laptop .####19,20 -1,-1	LAPTOP#DESIGN_FEATURES#0
- ip ##s full hd screen .####4,6 -1,-1	DISPLAY#GENERAL#1
- pretty loud speakers .####3,4 2,3	MULTIMEDIA_DEVICES#QUALITY#2
best pc bang for this level of buck .####1,3 0,1	LAPTOP#GENERAL#2
i will update this post if anything changes from what i posted , after i get the correct memory installed .####18,19 -1,-1	MEMORY#GENERAL#1
i have been beyond pleased with this laptop purchase over the last 6 months of use .####7,8 4,5	LAPTOP#GENERAL#2
i highly recommend this laptop for anyone looking for a great performing machine with an outstanding price ( just to be clear , it won ' t be running the newest high - end games on ultra - high graphics settings , but it still performs phenomena ##lly for its price range and usage category ) .####12,13 10,11	LAPTOP#OPERATION_PERFORMANCE#2
i highly recommend this laptop for anyone looking for a great performing machine with an outstanding price ( just to be clear , it won ' t be running the newest high - end games on ultra - high graphics settings , but it still performs phenomena ##lly for its price range and usage category ) .####4,5 46,48	LAPTOP#OPERATION_PERFORMANCE#2
i highly recommend this laptop for anyone looking for a great performing machine with an outstanding price ( just to be clear , it won ' t be running the newest high - end games on ultra - high graphics settings , but it still performs phenomena ##lly for its price range and usage category ) .####12,13 15,16	LAPTOP#PRICE#2
this laptop has been my traveling partner as i ' ve been traveling for 4 months , and i ' ve been extremely happy with the battery life , performance , and form of this machine .####29,30 23,24	LAPTOP#DESIGN_FEATURES#2
this laptop has been my traveling partner as i ' ve been traveling for 4 months , and i ' ve been extremely happy with the battery life , performance , and form of this machine .####26,28 23,24	BATTERY#GENERAL#2
it is also amazingly quiet : the ss ##d doesn ' t make any noise , and the fan only spins up if i am doing something intensive like playing games or running a he ##af ##ty program - just brows ##ing or watching videos / basic office work will not make this computer more than whisper .####7,9 3,4	HARDWARE#OPERATION_PERFORMANCE#2
so again , the battery is surprisingly great .####4,5 7,8	BATTERY#GENERAL#2
the keyboard was a bonus for me : i really like having the number pad for when working with spreads ##hee ##ts and such , and this size laptop doesn ' t always have one .####13,15 10,11	KEYBOARD#USABILITY#2
additionally , this has a nice back ##light to the keyboard , which will turn off when nothing has been pressed for about 20 seconds ( great for when just watching or reading something ) or can be manually turned off entirely .####10,11 5,6	KEYBOARD#USABILITY#2
additionally , this has a nice back ##light to the keyboard , which will turn off when nothing has been pressed for about 20 seconds ( great for when just watching or reading something ) or can be manually turned off entirely .####10,11 26,27	KEYBOARD#USABILITY#2
in addition , you are gifted with an sd card reader and an optical drive which can read and write cds and dvds ( which i can ' t say i ' ve used other than testing that it worked , but i do remember how hazardous it is to suddenly need something like that and not have it available ) .####13,15 -1,-1	OPTICAL_DRIVES#OPERATION_PERFORMANCE#2
- though the case is plastic , the keyboard area itself has a cold metallic feel .####3,4 -1,-1	LAPTOP#DESIGN_FEATURES#1
- though the case is plastic , the keyboard area itself has a cold metallic feel .####8,10 -1,-1	KEYBOARD#DESIGN_FEATURES#2
- the battery life is at least 8 hours .####2,4 -1,-1	BATTERY#OPERATION_PERFORMANCE#2
- the keys , often described as mu ##sh ##y , still have a decent click and distance to them .####2,3 14,15	KEYBOARD#DESIGN_FEATURES#2
- the back ##lit keyboard looks nice .####2,5 6,7	KEYBOARD#DESIGN_FEATURES#2
- i swear my screen periodically changes brightness but i can ' t tell if this is my imagination or not .####4,5 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
